#1
double data(8760,4)
#Time [s], Belpex electricity price [Euro/MWh], Dynamic consumer price [Euro/MWh], Dynamic injection price [Euro/MWh]
824400, 99.000000, 196.409800, 80.269000
828000, 98.799984, 196.205784, 80.072984
831600, 102.380004, 199.857404, 83.581404
835200, 117.489996, 215.269596, 98.389196
838800, 132.230016, 230.304416, 112.834416
842400, 143.790012, 242.095612, 124.163212
846000, 140.000004, 238.229804, 120.449004
849600, 132.149988, 230.222788, 112.755988
853200, 119.999988, 217.829788, 100.848988
856800, 106.729992, 204.294392, 87.844392
860400, 99.600012, 197.021812, 80.857012
864000, 90.929988, 188.178388, 72.360388
867600, 91.749996, 189.014796, 73.163996
871200, 88.589988, 185.791588, 70.067188
874800, 87.249996, 184.424796, 68.753996
878400, 82.379988, 179.457388, 63.981388
882000, 80.719992, 177.764192, 62.354592
885600, 85.650012, 182.792812, 67.186012
889200, 97.880004, 195.267404, 79.171404
892800, 116.870004, 214.637204, 97.781604
896400, 141.000012, 239.249812, 121.429012
900000, 129.160008, 227.173008, 109.825808
903600, 113.649984, 211.352784, 94.625984
907200, 106.480008, 204.039408, 87.599408
910800, 99.380016, 196.797416, 80.641416
914400, 99.000000, 196.409800, 80.269000
918000, 105.980004, 203.529404, 87.109404
921600, 115.380000, 213.117400, 96.321400
925200, 118.569996, 216.371196, 99.447596
928800, 136.429992, 234.588392, 116.950392
932400, 136.699992, 234.863792, 117.214992
936000, 132.310008, 230.386008, 112.912808
939600, 117.900000, 215.687800, 98.791000
943200, 107.190000, 204.763600, 88.295200
946800, 100.000008, 197.429808, 81.249008
950400, 91.220004, 188.474204, 72.644604
954000, 87.919992, 185.108192, 69.410592
957600, 85.539996, 182.680596, 67.078196
961200, 84.859992, 181.986992, 66.411792
964800, 82.069992, 179.141192, 63.677592
968400, 82.209996, 179.283996, 63.814796
972000, 83.170008, 180.263208, 64.755608
975600, 88.959996, 186.168996, 70.429796
979200, 118.299996, 216.095796, 99.182996
982800, 140.739984, 238.984584, 121.174184
986400, 134.960004, 233.089004, 115.509804
990000, 122.010012, 219.880012, 102.818812
993600, 114.729984, 212.454384, 95.684384
997200, 106.980012, 204.549412, 88.089412
1000800, 103.079988, 200.571388, 84.267388
1004400, 104.540004, 202.060604, 85.698204
1008000, 110.000016, 207.629816, 91.049016
1011600, 119.999988, 217.829788, 100.848988
1015200, 127.500012, 225.479812, 108.199012
1018800, 126.000000, 223.949800, 106.729000
1022400, 119.469996, 217.289196, 100.329596
1026000, 111.009996, 208.659996, 92.038796
1029600, 104.730012, 202.254412, 85.884412
1033200, 101.030004, 198.480404, 82.258404
1036800, 93.020004, 190.310204, 74.408604
1040400, 90.000000, 187.229800, 71.449000
1044000, 87.490008, 184.669608, 68.989208
1047600, 82.000008, 179.069808, 63.609008
1051200, 78.469992, 175.469192, 60.149592
1054800, 74.999988, 171.929788, 56.748988
1058400, 74.959992, 171.888992, 56.709792
1062000, 78.199992, 175.193792, 59.884992
1065600, 88.319988, 185.516188, 69.802588
1069200, 98.280000, 195.675400, 79.563400
1072800, 107.799984, 205.385784, 88.892984
1076400, 101.639988, 199.102588, 82.856188
1080000, 99.119988, 196.532188, 80.386588
1083600, 75.989988, 172.939588, 57.719188
1087200, 74.769984, 171.695184, 56.523584
1090800, 75.219984, 172.154184, 56.964584
1094400, 82.469988, 179.549188, 64.069588
1098000, 99.299988, 196.715788, 80.562988
1101600, 111.060000, 208.711000, 92.087800
1105200, 127.249992, 225.224792, 107.953992
1108800, 121.269996, 219.125196, 102.093596
1112400, 117.000000, 214.769800, 97.909000
1116000, 104.119992, 201.632192, 85.286592
1119600, 113.709996, 211.413996, 94.684796
1123200, 90.699984, 187.943784, 72.134984
1126800, 99.299988, 196.715788, 80.562988
1130400, 98.820000, 196.226200, 80.092600
1134000, 87.500016, 184.679816, 68.999016
1137600, 79.120008, 176.132208, 60.786608
1141200, 74.900016, 171.827816, 56.651016
1144800, 78.639984, 175.642584, 60.316184
1148400, 71.359992, 168.216992, 53.181792
1152000, 76.299984, 173.255784, 58.022984
1155600, 78.040008, 175.030608, 59.728208
1159200, 87.379992, 184.557392, 68.881392
1162800, 93.899988, 191.207788, 75.270988
1166400, 95.500008, 192.839808, 76.839008
1170000, 87.950016, 185.138816, 69.440016
1173600, 77.040000, 174.010600, 58.748200
1177200, 79.149996, 176.162796, 60.815996
1180800, 82.320012, 179.396212, 63.922612
1184400, 86.619996, 183.782196, 68.136596
1188000, 91.860012, 189.127012, 73.271812
1191600, 102.340008, 199.816608, 83.542208
1195200, 94.590000, 191.911600, 75.947200
1198800, 90.000000, 187.229800, 71.449000
1202400, 82.170000, 179.243200, 63.775600
1206000, 79.760016, 176.785016, 61.413816
1209600, 70.260012, 167.095012, 52.103812
1213200, 83.800008, 180.905808, 65.373008
1216800, 76.830012, 173.796412, 58.542412
1220400, 69.000012, 165.809812, 50.869012
1224000, 62.039988, 158.710588, 44.048188
1227600, 62.070012, 158.741212, 44.077612
1231200, 69.360012, 166.177012, 51.221812
1234800, 80.510004, 177.550004, 62.148804
1238400, 85.259988, 182.394988, 66.803788
1242000, 99.399996, 196.817796, 80.660996
